Acc.No,Acc.Date,Title,Author,Publisher,Callno,price
26146,10-06-2015,"CALCULUS, + CD",HOWARD ANTON,WILEY,515  ANT/CAL 28,859
26147,10-06-2015,"CALCULUS, + CD",HOWARD ANTON,WILEY,515  ANT/CAL 29,859
26148,10-06-2015,"CALCULUS, + CD",HOWARD ANTON,WILEY,515  ANT/CAL 30,859
26149,10-06-2015,"CALCULUS, + CD",HOWARD ANTON,WILEY,515  ANT/CAL 31,859
26150,10-06-2015,"CALCULUS, + CD",HOWARD ANTON,WILEY,515  ANT/CAL 32,859
26151,10-06-2015,"CALCULUS, + CD",HOWARD ANTON,WILEY,515  ANT/CAL  33,859
26152,10-06-2015,"CALCULUS, + CD",HOWARD ANTON,WILEY,515  ANT/CAL  34,859
26153,10-06-2015,"CALCULUS, + CD",HOWARD ANTON,WILEY,515  ANT/CAL  35,859
26154,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG,725
26155,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 1,725
26156,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 2,725
26157,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 3,725
26158,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 4,725
26159,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 5,725
26160,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 6,725
26161,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 7,725
26162,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 8,725
26163,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 9,725
26164,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 10,725
26165,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 11,725
26166,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 12,725
26167,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 13,725
26168,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 14,725
26169,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 15,725
26170,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 16,725
26171,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 17,725
26172,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 18,725
26173,14-07-2015,ENGINEERING MATHEMATICS,SRIMANTA PAL,OXFORD,510  PAL/ENG 19,725
26174,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 1,325
26175,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 2,325
26176,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 3,325
26177,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 4,325
26178,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 5,325
26179,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 6,325
26180,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 7,325
26181,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 8,325
26182,29-07-2015,COMPUTER BASICS AND C PROGRAMMING,V RAJARAMAN,PHI,005.133 C  RAJ/COM 9,325
26183,29-07-2015,FUNDAMENTALS OF COMPUTERS,V RAJARAMAN,PHI,004.1  RAJ/FUN 10,295
26184,29-07-2015,FUNDAMENTALS OF COMPUTERS,V RAJARAMAN,PHI,004.1  RAJ/FUN  11,295
26185,29-07-2015,HOW TO SOLVE IT BY COMPUTER,R G DROMEY,PEARSON,005  DRO/HOW,625
26186,29-07-2015,HOW TO SOLVE IT BY COMPUTER,R G DROMEY,PEARSON,005  DRO/HOW 1,625
26187,29-07-2015,FUNDAMENTALS OF COMPUTERS,REEMA THAREJA,OXFORD,004.1  THA/FUN,295
26188,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 2,425
26189,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 3,425
26190,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 4,425
26191,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 5,425
26192,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 6,425
26193,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 7,425
26194,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 8,425
26195,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 9,425
26196,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 10,425
26197,29-07-2015,COMPUTER FUNDAMENTALS,ANITA GOEL,PEARSON,004.1  GOE/COM 11,425
26198,29-07-2015,PRELUDE TO PROGRAMMING CONCEPTS AND DESIGN,STEWART VENIT,PEARSON,005.1  VEN/PRE 3,499
26199,29-07-2015,PRELUDE TO PROGRAMMING CONCEPTS AND DESIGN,STEWART VENIT,PEARSON,005.1  VEN/PRE 4,499
26200,29-07-2015,PRELUDE TO PROGRAMMING CONCEPTS AND DESIGN,STEWART VENIT,PEARSON,005.1  VEN/PRE 5,499
26201,29-07-2015,THINK PYTHON,ALLEN B. DOWNEY,Oreilly,005.133 PY  DOW/THI,475
26202,29-07-2015,THINK PYTHON,ALLEN B. DOWNEY,Oreilly,005.133 PY  DOW/THI 1,475
26203,29-07-2015,HEAD FIRST PYTHON,PAUL BARRY,SPD,005.133 PY  BAR/HEA 2,675
26204,29-07-2015,HEAD FIRST PYTHON,PAUL BARRY,SPD,005.133 PY  BAR/HEA 3,675
26205,26-08-2015,FIBER OPTIC COMMUNICATIONS,JOSEPH C PALAIS,PEARSON EDUCATION,621.369  PAL/FIB 18,699
26206,26-08-2015,FIBER OPTIC COMMUNICATIONS,JOSEPH C PALAIS,PEARSON EDUCATION,621.369  PAL/FIB 19,669
26207,26-08-2015,FIBER OPTIC COMMUNICATIONS,JOSEPH C PALAIS,PEARSON EDUCATION,621.369  PAL/FIB  20,669
26208,26-08-2015,FIBER OPTIC COMMUNICATIONS,JOSEPH C PALAIS,PEARSON EDUCATION,621.369  PAL/FIB  21,669
26209,26-08-2015,FIBER OPTIC COMMUNICATIONS,JOSEPH C PALAIS,PEARSON EDUCATION,621.369  PAL/FIB  22,669
26210,26-08-2015,OPTICS,EUGENE HECHT,PEARSON,535  HEC/OPT,760
26211,26-08-2015,OPTICS,EUGENE HECHT,PEARSON,535  HEC/OPT 1,760
26212,26-08-2015,OPTICS,EUGENE HECHT,PEARSON,535  HEC/OPT 2,760
26213,26-08-2015,OPTICS,EUGENE HECHT,PEARSON,535  HEC/OPT 3,760
26214,26-08-2015,OPTICS,EUGENE HECHT,PEARSON,535  HEC/OPT 4,760
26215,26-08-2015,CONCEPTS OF MODERN PHYSICS,ARTHUR BEISER,TMH,539  BEI/CON 1,599
26216,26-08-2015,CONCEPTS OF MODERN PHYSICS,ARTHUR BEISER,TMH,539  BEI/CON 2,599
26217,26-08-2015,CONCEPTS OF MODERN PHYSICS,ARTHUR BEISER,TMH,539  BEI/CON 3,599
26218,26-08-2015,CONCEPTS OF MODERN PHYSICS,ARTHUR BEISER,TMH,539  BEI/CON 4,599
26219,26-08-2015,CONCEPTS OF MODERN PHYSICS,ARTHUR BEISER,TMH,539  BEI/CON 5,599
26220,26-08-2015,PRACTICAL PHYSICS,P.R. SASI KUMAR,PHI,530  KUM/PRA,295
26221,26-08-2015,PRACTICAL PHYSICS,P.R. SASI KUMAR,PHI,530  KUM/PRA 1,295
26222,26-08-2015,PRACTICAL PHYSICS,P.R. SASI KUMAR,PHI,530  KUM/PRA 2,295
26223,26-08-2015,PRACTICAL PHYSICS,P.R. SASI KUMAR,PHI,530  KUM/PRA 3,295
26224,26-08-2015,PRACTICAL PHYSICS,P.R. SASI KUMAR,PHI,530  KUM/PRA 4,295
26225,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX,545
26226,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 1,545
26227,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 2,545
26228,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 3,545
26229,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 4,545
26230,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 5,545
26231,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 6,545
26232,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 7,545
26233,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 8,545
26234,26-08-2015,A TEXTBOOK OF OPTICS,N. SUBRAHMANYAM,S CHAND,535  SUB/TEX 9,545
26235,26-08-2015,ENGINEERING CHEMISTRY,PRASANTA RATH,CENGAGE LEARNING,540  RAT/ENG,450
26236,26-08-2015,ENGINEERING CHEMISTRY,PRASANTA RATH,CENGAGE LEARNING,540  RAT/ENG 1,450
26237,26-08-2015,ENGINEERING CHEMISTRY,PRASANTA RATH,CENGAGE LEARNING,540  RAT/ENG 2,450
26238,26-08-2015,ENGINEERING CHEMISTRY,PRASANTA RATH,CENGAGE LEARNING,540  RAT/ENG 3,450
26239,26-08-2015,ENGINEERING CHEMISTRY,PRASANTA RATH,CENGAGE LEARNING,540  RAT/ENG 4,450
26240,26-08-2015,A TEXTBOOK OF ENGINEERING CHEMISTRY,S.S. DARA,S CHAND,540  DAR/TEX,595
26241,26-08-2015,A TEXTBOOK OF ENGINEERING CHEMISTRY,S.S. DARA,S CHAND,540  DAR/TEX 1,595
26242,26-08-2015,A TEXTBOOK OF ENGINEERING CHEMISTRY,S.S. DARA,S CHAND,540  DAR/TEX 2,595
26243,26-08-2015,A TEXTBOOK OF ENGINEERING CHEMISTRY,S.S. DARA,S CHAND,540  DAR/TEX 3,595
26244,26-08-2015,A TEXTBOOK OF ENGINEERING CHEMISTRY,S.S. DARA,S CHAND,540  DAR/TEX 4,595
26245,26-08-2015,WILEY ENGINEERING CHEMISTRY,WILEY,WILEY,540  WIL/WIL,599
26246,26-08-2015,WILEY ENGINEERING CHEMISTRY,WILEY,WILEY,540  WIL/WIL 1,599
26247,26-08-2015,WILEY ENGINEERING CHEMISTRY,WILEY,WILEY,540  WIL/WIL 2,599
26248,26-08-2015,WILEY ENGINEERING CHEMISTRY,WILEY,WILEY,540  WIL/WIL 3,599
26249,26-08-2015,WILEY ENGINEERING CHEMISTRY,WILEY,WILEY,540  WIL/WIL 4,599
26250,26-08-2015,CHEMISTRY OF ENGINEERING MATERIALS,C.V. AGARWAL,BSP,540  AGA/CHE,395
26251,26-08-2015,CHEMISTRY OF ENGINEERING MATERIALS,C.V. AGARWAL,BSP,540  AGA/CHE 1,395
26252,26-08-2015,CHEMISTRY OF ENGINEERING MATERIALS,C.V. AGARWAL,BSP,540  AGA/CHE 2,395
26253,26-08-2015,CHEMISTRY OF ENGINEERING MATERIALS,C.V. AGARWAL,BSP,540  AGA/CHE 3,395
26254,26-08-2015,CHEMISTRY OF ENGINEERING MATERIALS,C.V. AGARWAL,BSP,540  AGA/CHE 4,395
26255,26-08-2015,ENGINEERING CHEMISTRY,S.C. BHATIA,CBS,540  BHA/ENG,350
26256,26-08-2015,ENGINEERING CHEMISTRY,S.C. BHATIA,CBS,540  BHA/ENG 1,350
26257,26-08-2015,ENGINEERING CHEMISTRY,S.C. BHATIA,CBS,540  BHA/ENG 2,350
26258,26-08-2015,ENGINEERING CHEMISTRY,S.C. BHATIA,CBS,540  BHA/ENG 3,350
26259,26-08-2015,ENGINEERING CHEMISTRY,S.C. BHATIA,CBS,540  BHA/ENG 4,350
26260,26-08-2015,ENGINEERING CHEMISTRY,PC JAIN ,Dhanpat Rai Pub,540  JAI/ENG 5,510
26261,26-08-2015,ENGINEERING CHEMISTRY,PC JAIN ,Dhanpat Rai Pub,540  JAI/ENG 6,510
26262,26-08-2015,ENGINEERING CHEMISTRY,PC JAIN ,Dhanpat Rai Pub,540  JAI/ENG 7,510
26263,26-08-2015,ENGINEERING CHEMISTRY,PC JAIN ,Dhanpat Rai Pub,540  JAI/ENG 8,510
26264,26-08-2015,ENGINEERING CHEMISTRY,PC JAIN ,Dhanpat Rai Pub,540  JAI/ENG 9,510
26265,26-08-2015,ENGINEERING PHYSICS  PRACTICALS,B. SRINIVASA RAO,UNIVERSITY SCIENCE PRESS,530  RAO/ENG,150
26266,26-08-2015,ENGINEERING PHYSICS  PRACTICALS,B. SRINIVASA RAO,UNIVERSITY SCIENCE PRESS,530  RAO/ENG 1,150
26267,26-08-2015,ENGINEERING PHYSICS  PRACTICALS,B. SRINIVASA RAO,UNIVERSITY SCIENCE PRESS,530  RAO/ENG 2,150
26268,26-08-2015,ENGINEERING PHYSICS  PRACTICALS,B. SRINIVASA RAO,UNIVERSITY SCIENCE PRESS,530  RAO/ENG 3,150
26269,26-08-2015,ENGINEERING PHYSICS  PRACTICALS,B. SRINIVASA RAO,UNIVERSITY SCIENCE PRESS,530  RAO/ENG 4,150
26270,08-09-2015,RENEWABLE ENERGY RESOURCES,JOHN TWIDELL,TAYLOR & FRANCIS,621.47  TWI/REN,1250
