Acc.No,Acc.Date,Title,Author,Publisher,Callno,price
25856,27-04-2015,"GATE 2015 : GRADUATE APTITUDE TEST IN ENGINEERING, ELECTRONICS AND COMMUNICATIONS, + CD",GKP,GKPUBLISHERS,371.26  GKP/GAT 0,835
25857,27-04-2015,"GATE 2015 : GRADUATE APTITUDE TEST IN ENGINEERING, ELECTRONICS AND COMMUNICATIONS, + CD",GKP,GKPUBLISHERS,371.26  GKP/GAT 1,835
25858,27-04-2015,"GATE 2015 : GRADUATE APTITUDE TEST IN ENGINEERING, ELECTRONICS AND COMMUNICATIONS, + CD",GKP,GKPUBLISHERS,371.26  GKP/GAT 2,835
25859,27-04-2015,"GATE 2015 : GRADUATE APTITUDE TEST IN ENGINEERING, ELECTRONICS AND COMMUNICATIONS, + CD",GKP,GKPUBLISHERS,371.26  GKP/GAT 3,835
25860,27-04-2015,"GATE 2015 : GRADUATE APTITUDE TEST IN ENGINEERING, ELECTRONICS AND COMMUNICATIONS, + CD",GKP,GKPUBLISHERS,371.26  GKP/GAT 4,835
25861,27-04-2015,PRINCIPLES OF EMBEDDED NETWORKED SYSTEMS DESIGN,GREGORY POTTIE,CAMBRIDGE,004.21  POT/PRI,4989
25862,27-04-2015,PRINCIPLES OF EMBEDDED NETWORKED SYSTEMS DESIGN,GREGORY POTTIE,CAMBRIDGE,004.21  POT/PRI 1,4989
25863,27-04-2015,PRINCIPLES OF EMBEDDED NETWORKED SYSTEMS DESIGN,GREGORY POTTIE,CAMBRIDGE,004.21  POT/PRI 2,4989
25864,27-04-2015,DIGITAL SYSTEMS TESTING AND TESTABLE DESIGN,MIRON ABRAMOVICI,jaico,621.39  ABR/DIG,599
25865,27-04-2015,DIGITAL SYSTEMS TESTING AND TESTABLE DESIGN,MIRON ABRAMOVICI,jaico,621.39  ABR/DIG 1,599
